date,close,close_t1,close_t2,close_t3,re
2020/2/4,10895,10990,12060,12270,-154.6406683
2020/2/5,11075,10895,10990,12060,161.3463841
2020/2/6,11245,11075,10895,10990,198.4824958
2020/2/7,11220,11245,11075,10895,34.60300979
2020/2/10,11220,11220,11245,11075,-1.720061121
2020/2/11,11430,11220,11220,11245,187.574921
2020/2/12,11430,11430,11220,11220,-8.407591211
2020/2/13,11350,11430,11430,11220,-88.45074725
2020/2/14,11350,11350,11430,11430,-18.58612283
2020/2/17,11435,11350,11350,11430,64.0884448
2020/2/18,11520,11435,11350,11350,81.96462223
2020/2/19,11535,11520,11435,11350,17.41781751
2020/2/20,11470,11535,11520,11435,-71.12442025
2020/2/21,11625,11470,11535,11520,137.7915962
2020/2/24,11345,11625,11470,11535,-284.3432865
2020/2/25,11465,11345,11625,11470,96.27804312
2020/2/26,11305,11465,11345,11625,-166.006439
2020/2/27,11160,11305,11465,11345,-164.306947
2020/2/28,10550,11160,11305,11465,-621.0240001
2020/3/2,10745,10550,11160,11305,138.336707
2020/3/3,10995,10745,10550,11160,246.2236607
2020/3/4,10970,10995,10745,10550,-0.674918981
2020/3/5,11065,10970,10995,10745,113.0976306
2020/3/6,10825,11065,10970,10995,-257.4661263
2020/3/9,10400,10825,11065,10970,-465.014054
2020/3/10,10485,10400,10825,11065,33.86354657
2020/3/11,10485,10485,10400,10825,-22.04055156
2020/3/12,10380,10485,10485,10400,-101.012159
2020/3/13,10380,10380,10485,10485,-2.335621039
2020/3/16,10380,10380,10380,10485,-21.14993556
2020/3/17,10165,10380,10380,10380,-231.5339639
2020/3/18,9970,10165,10380,10380,-224.1595742
2020/3/19,10165,9970,10165,10380,157.1644345
2020/3/20,9825,10165,9970,10165,-348.4421451
2020/3/23,9295,9825,10165,9970,-555.6884414
2020/3/24,9400,9295,9825,10165,47.35692532
2020/3/25,9460,9400,9295,9825,27.27014152
2020/3/26,9495,9460,9400,9295,39.00755677
2020/3/27,9525,9495,9460,9400,32.58443502
2020/3/30,9280,9525,9495,9460,-271.7538271
2020/3/31,9280,9280,9525,9495,-46.09249845
2020/4/1,9280,9280,9280,9525,-37.46376811
2020/4/2,9305,9280,9280,9280,-2.350783037
2020/4/3,9400,9305,9280,9280,80.44563702
2020/4/7,9500,9400,9305,9280,80.28729757
2020/4/8,9845,9500,9400,9305,326.1590474
2020/4/9,9845,9845,9500,9400,-4.772005441
2020/4/10,9845,9845,9845,9500,-24.86601974
2020/4/13,10000,9845,9845,9845,119.4653584
2020/4/14,10000,10000,9845,9845,-31.30913591
2020/4/15,10000,10000,10000,9845,-21.39496786
2020/4/16,9610,10000,10000,10000,-414.8179174
2020/4/17,9770,9610,10000,10000,104.7504835
2020/4/20,9860,9770,9610,10000,68.49500528
2020/4/21,9530,9860,9770,9610,-338.2112502
2020/4/22,9420,9530,9860,9770,-136.6936652
2020/4/23,9735,9420,9530,9860,268.6526231
2020/4/24,9655,9735,9420,9530,-86.94282711
2020/4/27,9650,9655,9735,9420,-12.01786852
2020/4/28,9605,9650,9655,9735,-70.76909606
2020/4/29,9560,9605,9650,9655,-86.32585945
2020/4/30,9660,9560,9605,9650,72.60087014
2020/5/6,9960,9660,9560,9605,280.0864205
2020/5/7,10075,9960,9660,9560,115.3035039
2020/5/8,10040,10075,9960,9660,-42.96790042
2020/5/11,10030,10040,10075,9960,-41.86126316
2020/5/12,9880,10030,10040,10075,-190.8822547
2020/5/13,9885,9880,10030,10040,-34.53700597
2020/5/14,9825,9885,9880,10030,-84.57069213
2020/5/15,10000,9825,9885,9880,152.0710553
2020/5/18,9995,10000,9825,9885,-9.038609733
2020/5/19,10085,9995,10000,9825,72.99605717
2020/5/20,10150,10085,9995,10000,49.04889681
2020/5/21,10125,10150,10085,9995,-49.03367737
2020/5/22,9985,10125,10150,10085,-164.0308515
2020/5/25,9930,9985,10125,10150,-91.90500747
2020/5/26,10050,9930,9985,10125,88.45464537
2020/5/27,10025,10050,9930,9985,-36.73869056
2020/5/28,9970,10025,10050,9930,-67.64788507
2020/5/29,9875,9970,10025,10050,-118.9130032
2020/6/1,10135,9875,9970,10025,225.4687878
2020/6/2,9990,10135,9875,9970,-150.9180254
2020/6/3,10145,9990,10135,9875,133.0015071
2020/6/4,10000,10145,9990,10135,-158.6183269
2020/6/5,10280,10000,10145,9990,242.5704569
2020/6/8,10305,10280,10000,10145,22.39318144
2020/6/9,10365,10305,10280,10000,42.13054697
2020/6/10,10665,10365,10305,10280,287.0372938
2020/6/11,10575,10665,10365,10305,-100.9595304
2020/6/12,10460,10575,10665,10365,-135.6542272
2020/6/15,10460,10460,10575,10665,-34.95991233
2020/6/16,10160,10460,10460,10575,-333.6767812
2020/6/17,10140,10160,10460,10460,-52.61108356
2020/6/18,10110,10140,10160,10460,-50.7656322
2020/6/19,10100,10110,10140,10160,-25.98967889
2020/6/22,10170,10100,10110,10140,64.37402348
2020/6/23,10155,10170,10100,10110,-28.3101973
2020/6/24,10200,10155,10170,10100,26.7579461
2020/6/29,9860,10200,10155,10170,-358.9451287
2020/6/30,10150,9860,10200,10155,243.6119263
2020/7/1,10120,10150,9860,10200,-40.30571808
2020/7/2,10050,10120,10150,9860,-83.83824502
2020/7/3,10420,10050,10120,10150,355.8370674
